WORKERS: "gpu01-ib:5555","gpu02-ib:5555"
Start at Sun Feb 14 03:27:28 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[01-02]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1095025
1: Number of devices per node: 2
2: Number of devices per node: 2
0: Number of devices per node: 2
3: Number of devices per node: 2
3: 
0: rank 0
2: rank 2
1: rank 1
3: rank 3
1: => creating model 'resnet50'
0: => creating model 'resnet50'
3: => creating model 'resnet50'
2: => creating model 'resnet50'
1: Epoch 62/90 - 61.730s
2: Epoch 62/90 - 61.730s
0: Epoch 62/90 - 61.730s
3: Epoch 62/90 - 61.730s
1: Epoch 63/90 - 62.151s
2: Epoch 63/90 - 62.152s
3: Epoch 63/90 - 62.151s
0: Epoch 63/90 - 62.152s
1: Epoch 64/90 - 62.262s
2: Epoch 64/90 - 62.262s
3: Epoch 64/90 - 62.262s
0: Epoch 64/90 - 62.262s
1: Epoch 65/90 - 62.131s
2: Epoch 65/90 - 62.131s
3: Epoch 65/90 - 62.131s
0: Epoch 65/90 - 62.131s
1: Epoch 66/90 - 62.196s
2: Epoch 66/90 - 62.196s
3: Epoch 66/90 - 62.196s
0: Epoch 66/90 - 62.196s
1: Epoch 67/90 - 62.068s
2: Epoch 67/90 - 62.068s
3: Epoch 67/90 - 62.068s
0: Epoch 67/90 - 62.068s
1: Epoch 68/90 - 62.479s
2: Epoch 68/90 - 62.479s
3: Epoch 68/90 - 62.479s
0: Epoch 68/90 - 62.479s
1: Epoch 69/90 - 62.274s
2: Epoch 69/90 - 62.274s
3: Epoch 69/90 - 62.274s
0: Epoch 69/90 - 62.274s
1: Epoch 70/90 - 62.369s
2: Epoch 70/90 - 62.369s
3: Epoch 70/90 - 62.369s
0: Epoch 70/90 - 62.369s
1: Epoch 71/90 - 62.039s
2: Epoch 71/90 - 62.039s
3: Epoch 71/90 - 62.039s
0: Epoch 71/90 - 62.039s
1: Epoch 72/90 - 62.292s
2: Epoch 72/90 - 62.292s
3: Epoch 72/90 - 62.292s
0: Epoch 72/90 - 62.292s
1: Epoch 73/90 - 62.265s
2: Epoch 73/90 - 62.265s
3: Epoch 73/90 - 62.265s
0: Epoch 73/90 - 62.265s
1: Epoch 74/90 - 62.100s
2: Epoch 74/90 - 62.100s
3: Epoch 74/90 - 62.100s
0: Epoch 74/90 - 62.100s
1: Epoch 75/90 - 62.542s
2: Epoch 75/90 - 62.542s
3: Epoch 75/90 - 62.542s
0: Epoch 75/90 - 62.542s
1: Epoch 76/90 - 62.036s
2: Epoch 76/90 - 62.036s
3: Epoch 76/90 - 62.036s
0: Epoch 76/90 - 62.036s
1: Epoch 77/90 - 62.049s
2: Epoch 77/90 - 62.049s
3: Epoch 77/90 - 62.049s
0: Epoch 77/90 - 62.049s
1: Epoch 78/90 - 62.017s
2: Epoch 78/90 - 62.017s
3: Epoch 78/90 - 62.017s
0: Epoch 78/90 - 62.017s
1: Epoch 79/90 - 61.701s
2: Epoch 79/90 - 61.701s
3: Epoch 79/90 - 61.701s
0: Epoch 79/90 - 61.701s
1: Epoch 80/90 - 62.472s
2: Epoch 80/90 - 62.472s
3: Epoch 80/90 - 62.472s
0: Epoch 80/90 - 62.472s
1: Epoch 81/90 - 62.104s
2: Epoch 81/90 - 62.104s
3: Epoch 81/90 - 62.104s
0: Epoch 81/90 - 62.104s
1: Epoch 82/90 - 62.302s
2: Epoch 82/90 - 62.302s
3: Epoch 82/90 - 62.302s
0: Epoch 82/90 - 62.302s
1: Epoch 83/90 - 61.937s
2: Epoch 83/90 - 61.937s
3: Epoch 83/90 - 61.937s
